"","faixa_etaria","uf","idade","analfabeto","trabalha","carteira_assinada","responsavel","ensino_medio","ocupacao","salario","motivo_indisp_14","motivo_indisp","horas_trabalho","ano","setor_privado","setor_domestico","setor_publico","setor_empregador","setor_conta_propria","setor_auxiliar_familiar","motivo_dependente","motivo_estudo","motivo_pcd","motivo_idade","motivo_vontade"
"327","65 a 69 anos",13,67.8827721112198,0.215825997857575,0.258193221865151,0.412255106294289,0.661760824678248,0.246906680328505,4.22389085717307,3378.00126465854,3.72941848709947,NA,35.5912431917931,2014,0.0671038020199884,0.0508698641002591,0.135318068848818,0.111998307863148,0.607159854053197,0.0275501031145894,1,NA,1,1,1
"328","65 a 69 anos",14,67.8653749791214,0.392851177551361,0.218974444630032,0.449877750611247,0.702188074160682,0.118757307499582,3.72182080924855,1237.82080924855,3.72496198131653,NA,38.2904624277457,2014,0.21893063583815,0.0765895953757225,0,0.172687861271676,0.531791907514451,0,1,NA,1,1,NA
"329","65 a 69 anos",15,67.9551009971874,0.330311940680133,0.17932753771414,0.291290416545296,0.660054973152646,0.137042955765789,4.55318314786332,943.732874310669,3.81119556135982,NA,32.6163635815314,2014,0.0633915377423927,0.0250912271178262,0.0737054796586146,0.0200548870593202,0.768268041858922,0.0494888265629241,1,NA,1,1,1
"330","65 a 69 anos",16,68.0974918669325,0.24210305383566,0.259103788435303,1,0.627872809318921,0.116696400461748,3.97831875237733,1568.79060348319,3.7495652173913,NA,37.1182959300114,2014,0.0718904526435907,0,0.397489539748954,0,0.469760365157855,0.0608596424496006,1,NA,1,1,NA
"331","65 a 69 anos",17,67.8313985027666,0.390474123901486,0.169071642978554,0,0.674948464793317,0.0830711366677516,4.33631518842786,1196.73912167607,3.78559628521677,NA,33.5721355157975,2014,0.0688998858012942,0.0159878188047202,0.121811952797868,0.113247049866768,0.663304149219642,0.0167491435097069,1,NA,1,1,1
"332","65 a 69 anos",21,67.8673503996225,0.511656885008995,0.144041053469785,0.0939163498098859,0.693477747957649,0.113892411596426,4.59915493941404,664.241647785788,3.8566815186461,NA,31.7538149945874,2014,0.0511925131822467,0.00942836190941789,0.109508677584943,0.0173551698851137,0.743932674511995,0.0685826029262842,1,NA,1,1,1
"333","65 a 69 anos",22,67.8186947614867,0.492396839332748,0.223072870939421,0.0905624404194471,0.663529411764706,0.110529704419081,4.61118765500138,804.219370532168,3.8169798742937,NA,32.7025810599798,2014,0.0541471479746487,0.00785340314136126,0.068981353908331,0.0855607605400937,0.708597409754753,0.074859924680812,1,NA,1,1,1
"334","65 a 69 anos",23,67.6594691819136,0.445524019346288,0.187520439250245,0.331298093007695,0.667102704005232,0.168651784023821,3.99988436409891,1794.22368803153,3.75322344993861,NA,34.8035731493438,2014,0.133617283712683,0.0532310598030335,0.144082332761578,0.0710389885713184,0.544780002698171,0.0532503324532156,1,NA,1,1,1
"335","65 a 69 anos",24,67.7640306425903,0.365581804772441,0.106749458758594,0.382732532265243,0.690160112292722,0.147931387243356,3.83817385101396,2368.10732113145,3.81773127011703,NA,38.9601548965658,2014,0.152247019260165,0,0.229287679608682,0.102924691735453,0.50687863038826,0.00866197900743911,1,NA,1,1,1
"336","65 a 69 anos",25,67.8975635084694,0.397627188384783,0.199092806128947,0.490416793428658,0.641119590881036,0.143593310669815,4.10652906662228,1465.27876029476,3.8730042797468,NA,33.7276850734468,2014,0.12013649036661,0.00790645416337231,0.166410053680662,0.0627106653905372,0.63651117306812,0.00632516333069785,1,NA,1,1,1
