ANO_ELEICAO,NR_TURNO,CD_MUNICIPIO,SG_UF,DS_CARGO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS
2022,2,4359,PA,Presidente,NÃO ELEITO,18062
2022,2,4367,PA,Presidente,ELEITO,6124
2022,2,4367,PA,Presidente,NÃO ELEITO,4362
2022,2,4375,PA,Presidente,ELEITO,12012
2022,2,4375,PA,Presidente,NÃO ELEITO,5085
2022,2,4383,PA,Presidente,ELEITO,2838
2022,2,4383,PA,Presidente,NÃO ELEITO,13776
2022,2,4391,PA,Presidente,ELEITO,10657
2022,2,4391,PA,Presidente,NÃO ELEITO,2750
2022,2,4405,PA,Presidente,ELEITO,5300
2022,2,4405,PA,Presidente,NÃO ELEITO,5734
2022,2,4413,PA,Presidente,ELEITO,60945
2022,2,4413,PA,Presidente,NÃO ELEITO,19273
2022,2,4421,PA,Presidente,ELEITO,14079
2022,2,4421,PA,Presidente,NÃO ELEITO,18037
2022,2,4430,PA,Presidente,ELEITO,24743
2022,2,4430,PA,Presidente,NÃO ELEITO,16458
2022,2,4448,PA,Presidente,ELEITO,12388
2022,2,4448,PA,Presidente,NÃO ELEITO,9276
2022,2,4456,PA,Presidente,ELEITO,20767
2022,2,4456,PA,Presidente,NÃO ELEITO,11640
2022,2,4464,PA,Presidente,ELEITO,6761
2022,2,4464,PA,Presidente,NÃO ELEITO,5044
2022,2,4472,PA,Presidente,ELEITO,53437
2022,2,4472,PA,Presidente,NÃO ELEITO,58469
2022,2,4480,PA,Presidente,ELEITO,6660
2022,2,4480,PA,Presidente,NÃO ELEITO,4902
2022,2,4499,PA,Presidente,ELEITO,6117
2022,2,4499,PA,Presidente,NÃO ELEITO,2977
2022,2,4502,PA,Presidente,ELEITO,2357
2022,2,4502,PA,Presidente,NÃO ELEITO,1768
2022,2,4510,PA,Presidente,ELEITO,6219
2022,2,4510,PA,Presidente,NÃO ELEITO,2028
2022,2,4529,PA,Presidente,ELEITO,1936
2022,2,4529,PA,Presidente,NÃO ELEITO,3217
2022,2,4537,PA,Presidente,ELEITO,10640
2022,2,4537,PA,Presidente,NÃO ELEITO,13451
2022,2,4545,PA,Presidente,ELEITO,5342
2022,2,4545,PA,Presidente,NÃO ELEITO,2762
2022,2,4553,PA,Presidente,ELEITO,13465
2022,2,4553,PA,Presidente,NÃO ELEITO,3766
2022,2,4561,PA,Presidente,ELEITO,4802
2022,2,4561,PA,Presidente,NÃO ELEITO,5535
2022,2,4570,PA,Presidente,ELEITO,17798
2022,2,4570,PA,Presidente,NÃO ELEITO,6688
2022,2,4588,PA,Presidente,ELEITO,790
2022,2,4588,PA,Presidente,NÃO ELEITO,1340
2022,2,4596,PA,Presidente,ELEITO,3772
2022,2,4596,PA,Presidente,NÃO ELEITO,942
2022,2,4600,PA,Presidente,ELEITO,4173
2022,2,4600,PA,Presidente,NÃO ELEITO,3644
2022,2,4618,PA,Presidente,ELEITO,11516
2022,2,4618,PA,Presidente,NÃO ELEITO,4565
2022,2,4626,PA,Presidente,ELEITO,3632
2022,2,4626,PA,Presidente,NÃO ELEITO,6541
2022,2,4634,PA,Presidente,ELEITO,17589
2022,2,4634,PA,Presidente,NÃO ELEITO,6676
2022,2,4642,PA,Presidente,ELEITO,36067
2022,2,4642,PA,Presidente,NÃO ELEITO,30886
2022,2,4650,PA,Presidente,ELEITO,25085
2022,2,4650,PA,Presidente,NÃO ELEITO,14004
2022,2,4669,PA,Presidente,ELEITO,14401
2022,2,4669,PA,Presidente,NÃO ELEITO,3924
2022,2,4677,PA,Presidente,ELEITO,4584
2022,2,4677,PA,Presidente,NÃO ELEITO,2704
2022,2,4685,PA,Presidente,ELEITO,5260
